# host=127.0.0.1
# port=8080
# clients=50
# requestsPerClient=10
# warmupDiscarded=20
# elapsedSec=3.248639
# throughput=153.910621
# p50Ms=315
# p95Ms=407
timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1772136355761,10,0,12,120,true
1772136355765,5,0,7,124,true
1772136355765,9,0,11,124,true
1772136355766,33,0,35,124,true
1772136355766,25,0,27,124,true
1772136355767,31,0,33,125,true
1772136355763,27,0,29,121,true
1772136355768,22,0,24,126,true
1772136355769,18,0,20,128,true
1772136355769,47,0,49,128,true
1772136355771,28,0,30,130,true
1772136355772,42,0,44,130,true
1772136355776,41,0,43,134,true
1772136355826,24,0,26,185,true
1772136355863,2,0,1,221,true
1772136355877,40,0,42,236,true
1772136355919,16,0,18,277,true
1772136355958,45,0,47,317,true
1772136356005,29,0,31,364,true
1772136356033,46,0,48,391,true
1772136356033,11,0,13,392,true
1772136356048,19,0,21,407,true
1772136356049,13,0,15,408,true
1772136356050,6,0,8,409,true
1772136356051,18,1,59,281,true
1772136356053,47,1,60,283,true
1772136356057,15,0,17,415,true
1772136356057,48,0,50,415,true
1772136356059,38,0,40,418,true
1772136356061,22,1,58,292,true
1772136356062,3,0,5,420,true
1772136356062,17,0,19,421,true
1772136356063,12,0,14,421,true
1772136356066,49,0,2,425,true
1772136356070,44,0,46,428,true
1772136356070,7,0,9,429,true
1772136356072,32,0,34,430,true
1772136356072,1,0,4,431,true
1772136356073,14,0,16,431,true
1772136356073,20,0,22,432,true
1772136356073,36,0,38,432,true
1772136356079,26,0,28,437,true
1772136356085,43,0,45,443,true
1772136356089,35,0,37,447,true
1772136356089,21,0,23,447,true
1772136356089,34,0,36,447,true
1772136356089,39,0,41,447,true
1772136356089,37,0,39,448,true
1772136356091,30,0,32,449,true
1772136356094,23,0,25,452,true
1772136356094,0,0,3,453,true
1772136356095,4,0,6,453,true
1772136356098,8,0,10,457,true
1772136356100,31,1,56,333,true
1772136356102,9,1,53,336,true
1772136356103,24,1,64,277,true
1772136356104,33,1,54,338,true
1772136356105,5,1,52,339,true
1772136356105,25,1,55,339,true
1772136356106,27,1,57,338,true
1772136356110,42,1,62,338,true
1772136356112,28,1,61,340,true
1772136356117,41,1,63,340,true
1772136356121,10,1,51,356,true
1772136356150,2,1,65,287,true
1772136356175,40,1,66,297,true
1772136356283,16,1,67,363,true
1772136356319,45,1,68,360,true
1772136356374,11,1,71,340,true
1772136356378,31,2,104,277,true
1772136356403,43,1,93,318,true
1772136356407,38,1,79,347,true
1772136356413,12,1,83,350,true
1772136356415,49,1,84,349,true
1772136356416,1,1,88,343,true
1772136356417,15,1,77,360,true
1772136356419,34,1,96,330,true
1772136356419,36,1,91,345,true
1772136356420,29,1,69,414,true
1772136356422,35,1,94,333,true
1772136356423,39,1,97,334,true
1772136356425,14,1,89,351,true
