# host=127.0.0.1
# port=8080
# clients=50
# requestsPerClient=10
# warmupDiscarded=20
# elapsedSec=3.389845
# throughput=147.499359
# p50Ms=333
# p95Ms=387
timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1772136114942,43,0,45,108,true
1772136114944,18,0,20,111,true
1772136114944,47,0,50,111,true
1772136114944,42,0,44,111,true
1772136114947,26,0,28,114,true
1772136114948,0,0,3,115,true
1772136114948,22,0,24,115,true
1772136114942,14,0,16,109,true
1772136114949,21,0,23,116,true
1772136114950,27,0,29,117,true
1772136114951,12,0,14,119,true
1772136114953,5,0,7,120,true
1772136114961,19,0,21,128,true
1772136115035,45,0,47,202,true
1772136115038,24,0,26,205,true
1772136115038,30,0,32,205,true
1772136115038,13,0,15,205,true
1772136115040,33,0,35,208,true
1772136115043,48,0,49,210,true
1772136115043,38,0,40,210,true
1772136115044,10,0,12,211,true
1772136115044,7,0,9,211,true
1772136115044,11,0,13,211,true
1772136115046,3,0,6,213,true
1772136115049,16,0,18,216,true
1772136115052,4,0,5,219,true
1772136115121,8,0,10,288,true
1772136115126,40,0,42,293,true
1772136115127,2,0,1,294,true
1772136115129,9,0,11,296,true
1772136115129,20,0,22,296,true
1772136115130,39,0,41,297,true
1772136115131,6,0,8,299,true
1772136115133,35,0,37,300,true
1772136115134,17,0,19,301,true
1772136115134,29,0,31,301,true
1772136115136,25,0,27,303,true
1772136115138,34,0,36,305,true
1772136115144,23,0,25,311,true
1772136115207,28,0,30,375,true
1772136115210,32,0,34,377,true
1772136115213,37,0,39,381,true
1772136115216,49,0,4,383,true
1772136115216,44,0,46,383,true
1772136115217,15,0,17,384,true
1772136115220,46,0,48,387,true
1772136115223,1,0,2,391,true
1772136115224,41,0,43,391,true
1772136115224,31,0,33,392,true
1772136115227,36,0,38,394,true
1772136115227,43,1,51,281,true
1772136115230,18,1,52,284,true
1772136115295,47,1,53,348,true
1772136115301,42,1,54,354,true
1772136115303,26,1,55,356,true
1772136115305,0,1,56,357,true
1772136115310,27,1,60,359,true
1772136115310,14,1,58,361,true
1772136115310,21,1,59,361,true
1772136115311,22,1,57,362,true
1772136115313,5,1,62,359,true
1772136115315,19,1,63,353,true
1772136115318,12,1,61,366,true
1772136115319,45,1,64,283,true
1772136115321,24,1,65,283,true
1772136115391,30,1,66,353,true
1772136115395,13,1,67,356,true
1772136115399,33,1,68,358,true
1772136115401,3,1,74,355,true
1772136115402,10,1,71,357,true
1772136115403,7,1,72,358,true
1772136115404,48,1,69,361,true
1772136115405,8,1,77,283,true
1772136115406,11,1,73,361,true
1772136115409,4,1,76,357,true
1772136115409,38,1,70,365,true
1772136115415,16,1,75,365,true
1772136115426,40,1,78,299,true
1772136115479,2,1,79,352,true
1772136115488,35,1,84,355,true
1772136115489,9,1,80,359,true
1772136115494,25,1,87,358,true
1772136115494,29,1,86,359,true
1772136115495,20,1,81,365,true
1772136115496,23,1,89,351,true
1772136115497,6,1,83,365,true
1772136115497,17,1,85,363,true
1772136115498,34,1,88,359,true
1772136115502,39,1,82,371,true
1772136115502,28,1,90,294,true
1772136115510,32,1,91,300,true
1772136115567,37,1,92,353,true
1772136115571,44,1,94,355,true
1772136115575,49,1,93,359,true
1772136115577,15,1,95,359,true
1772136115577,46,1,96,356,true
1772136115577,1,1,97,353,true
1772136115579,31,1,99,354,true
1772136115579,43,2,101,351,true
1772136115579,18,2,102,349,true
1772136115580,41,1,98,356,true
1772136115582,47,2,103,287,true
1772136115583,36,1,100,355,true
1772136115599,42,2,104,297,true
1772136115651,0,2,106,345,true
1772136115652,26,2,105,348,true
1772136115657,27,2,107,347,true
1772136115658,22,2,110,347,true
1772136115658,21,2,109,348,true
1772136115659,5,2,111,346,true
1772136115660,19,2,112,345,true
1772136115664,14,2,108,353,true
1772136115664,12,2,113,346,true
1772136115665,45,2,114,346,true
1772136115667,30,2,116,276,true
1772136115668,24,2,115,347,true
1772136115677,13,2,117,281,true
1772136115732,3,2,119,331,true
1772136115733,33,2,118,333,true
1772136115739,7,2,121,336,true
1772136115742,10,2,120,340,true
1772136115743,11,2,124,337,true
1772136115743,48,2,122,339,true
1772136115744,38,2,126,334,true
1772136115746,8,2,123,341,true
1772136115747,4,2,125,337,true
1772136115748,2,2,129,268,true
1772136115750,40,2,128,324,true
1772136115750,16,2,127,335,true
1772136115759,35,2,130,271,true
1772136115819,9,2,131,330,true
1772136115820,25,2,132,326,true
1772136115826,20,2,134,331,true
1772136115827,34,2,138,328,true
1772136115827,17,2,137,330,true
1772136115828,39,2,139,326,true
1772136115830,23,2,135,333,true
1772136115830,32,2,141,319,true
1772136115831,29,2,133,336,true
1772136115831,6,2,136,333,true
1772136115831,28,2,140,328,true
1772136115835,37,2,142,267,true
1772136115846,44,2,143,274,true
1772136115900,49,2,144,325,true
1772136115904,15,2,145,327,true
1772136115908,46,2,146,331,true
1772136115910,36,2,153,327,true
1772136115910,1,2,147,333,true
1772136115912,43,3,149,332,true
1772136115913,47,3,152,330,true
1772136115913,18,3,150,333,true
1772136115915,42,3,154,315,true
1772136115915,31,2,148,335,true
1772136115916,41,2,151,335,true
1772136115918,0,3,155,266,true
1772136115932,26,3,156,280,true
1772136115980,27,3,157,323,true
1772136115989,22,3,158,330,true
1772136115991,21,3,159,333,true
1772136115994,45,3,164,328,true
1772136115994,19,3,161,333,true
1772136115995,24,3,166,326,true
1772136115995,30,3,165,327,true
1772136115997,5,3,160,337,true
1772136115998,12,3,163,333,true
1772136115999,14,3,162,335,true
1772136116000,13,3,167,323,true
1772136116002,3,3,168,269,true
1772136116014,33,3,169,280,true
1772136116070,7,3,170,330,true
1772136116072,38,3,174,328,true
1772136116073,10,3,171,330,true
1772136116075,8,3,175,328,true
1772136116077,11,3,172,333,true
1772136116077,2,3,177,328,true
1772136116079,48,3,173,335,true
1772136116081,4,3,176,333,true
1772136116082,35,3,180,322,true
1772136116082,40,3,178,332,true
1772136116082,16,3,179,332,true
1772136116085,9,3,181,265,true
1772136116095,25,3,182,274,true
1772136116150,20,3,183,324,true
1772136116154,17,3,185,326,true
1772136116158,6,3,190,327,true
1772136116158,23,3,187,328,true
1772136116158,32,3,188,328,true
1772136116159,34,3,184,332,true
1772136116160,29,3,189,329,true
1772136116161,39,3,186,332,true
1772136116162,28,3,191,331,true
1772136116164,44,3,193,318,true
1772136116167,37,3,192,331,true
1772136116173,15,3,195,268,true
1772136116174,49,3,194,274,true
1772136116233,46,3,196,324,true
1772136116237,1,3,198,326,true
1772136116238,43,4,199,326,true
1772136116239,36,3,197,329,true
1772136116241,42,4,202,326,true
1772136116246,47,4,200,332,true
1772136116246,31,3,203,331,true
1772136116246,26,4,206,314,true
1772136116247,0,4,205,328,true
1772136116248,41,3,204,332,true
1772136116248,18,4,201,335,true
1772136116253,22,4,208,264,true
1772136116263,27,4,207,283,true
1772136116322,21,4,209,330,true
1772136116329,45,4,210,335,true
1772136116330,24,4,212,335,true
1772136116332,19,4,211,337,true
1772136116333,5,4,214,335,true
1772136116334,33,4,219,320,true
1772136116335,13,4,217,334,true
1772136116336,12,4,215,337,true
1772136116336,3,4,218,334,true
1772136116338,30,4,213,342,true
1772136116339,14,4,216,340,true
1772136116341,7,4,220,270,true
1772136116350,38,4,221,277,true
1772136116406,10,4,222,333,true
1772136116408,8,4,223,333,true
1772136116409,11,4,224,331,true
1772136116415,35,4,228,333,true
1772136116415,48,4,226,336,true
1772136116416,2,4,225,338,true
1772136116418,9,4,231,333,true
1772136116462,4,4,227,381,true
1772136116463,25,4,232,367,true
1772136116464,40,4,229,381,true
1772136116465,20,4,233,314,true
1772136116470,16,4,230,387,true
1772136116481,17,4,234,327,true
1772136116544,23,4,236,385,true
1772136116545,6,4,235,386,true
1772136116547,32,4,237,388,true
1772136116552,39,4,240,390,true
1772136116552,29,4,239,392,true
1772136116553,28,4,241,390,true
1772136116556,34,4,238,396,true
1772136116557,49,4,245,382,true
1772136116557,44,4,242,392,true
1772136116559,46,4,246,326,true
1772136116560,15,4,244,387,true
1772136116561,37,4,243,394,true
1772136116571,1,4,247,333,true
1772136116629,42,5,250,387,true
1772136116629,43,5,248,391,true
1772136116630,36,4,249,390,true
1772136116633,47,5,251,387,true
1772136116635,31,4,252,388,true
1772136116638,26,5,253,391,true
1772136116640,27,5,258,376,true
1772136116640,0,5,254,392,true
1772136116642,22,5,257,389,true
1772136116645,41,4,255,397,true
1772136116646,21,5,259,323,true
1772136116646,18,5,256,397,true
1772136116650,45,5,260,320,true
1772136116713,19,5,262,381,true
1772136116713,24,5,261,382,true
1772136116717,5,5,263,384,true
1772136116718,13,5,265,383,true
1772136116721,30,5,268,382,true
1772136116721,12,5,266,385,true
1772136116722,14,5,269,382,true
1772136116723,33,5,264,388,true
1772136116727,3,5,267,390,true
1772136116728,7,5,270,387,true
1772136116731,10,5,272,324,true
1772136116732,38,5,271,382,true
1772136116743,8,5,273,335,true
1772136116800,11,5,274,390,true
1772136116800,48,5,276,384,true
1772136116800,2,5,277,383,true
1772136116804,35,5,275,388,true
1772136116804,4,5,279,342,true
1772136116804,9,5,278,386,true
1772136116808,20,5,282,342,true
1772136116808,16,5,283,337,true
1772136116811,40,5,281,347,true
1772136116813,17,5,284,331,true
1772136116815,23,5,285,271,true
1772136116817,25,5,280,354,true
1772136116828,6,5,286,283,true
1772136116881,32,5,287,334,true
1772136116883,29,5,289,330,true
1772136116884,34,5,291,328,true
1772136116886,39,5,288,334,true
1772136116890,49,5,292,332,true
1772136116890,44,5,293,333,true
1772136116892,28,5,290,339,true
1772136116894,46,5,294,334,true
1772136116894,37,5,296,333,true
1772136116896,1,5,297,324,true
1772136116896,15,5,295,335,true
1772136116902,42,6,298,272,true
1772136116912,43,6,299,282,true
1772136116961,36,5,300,331,true
1772136116968,31,5,302,332,true
1772136116968,47,6,301,335,true
1772136116969,0,6,305,329,true
1772136116969,26,6,303,331,true
1772136116975,22,6,306,332,true
1772136116976,27,6,304,336,true
1772136116977,45,6,310,326,true
1772136116977,41,5,307,332,true
1772136116978,21,6,308,332,true
1772136116981,18,6,309,334,true
1772136116983,19,6,311,269,true
1772136116998,24,6,312,284,true
1772136117049,30,6,315,328,true
1772136117052,12,6,316,330,true
1772136117052,5,6,313,334,true
1772136117053,13,6,314,334,true
1772136117057,33,6,318,333,true
1772136117059,14,6,317,336,true
1772136117061,3,6,319,334,true
1772136117063,7,6,320,334,true
1772136117064,8,6,323,320,true
1772136117066,38,6,322,333,true
1772136117066,11,6,324,266,true
1772136117067,10,6,321,335,true
1772136117075,48,6,325,275,true
1772136117134,4,6,328,329,true
1772136117134,9,6,329,329,true
1772136117137,2,6,326,336,true
1772136117142,35,6,327,338,true
1772136117143,16,6,331,335,true
1772136117144,20,6,330,336,true
1772136117146,40,6,332,335,true
1772136117148,23,6,334,332,true
1772136117149,25,6,335,331,true
1772136117152,17,6,333,338,true
1772136117152,32,6,337,270,true
1772136117153,6,6,336,324,true
1772136117157,29,6,338,273,true
1772136117217,49,6,341,327,true
1772136117219,34,6,339,334,true
1772136117225,39,6,340,339,true
1772136117226,44,6,342,335,true
1772136117226,15,6,347,330,true
1772136117229,1,6,346,333,true
1772136117230,28,6,343,338,true
1772136117231,46,6,344,336,true
1772136117232,37,6,345,337,true
1772136117233,36,6,350,271,true
1772136117233,43,7,349,321,true
1772136117235,42,7,348,332,true
1772136117243,31,6,351,275,true
1772136117301,0,7,353,331,true
1772136117302,47,7,352,333,true
1772136117307,22,7,355,332,true
1772136117308,26,7,354,339,true
1772136117313,21,7,359,334,true
1772136117315,27,7,356,338,true
1772136117315,45,7,357,337,true
1772136117316,41,6,358,338,true
1772136117318,18,7,360,336,true
1772136117318,19,7,361,335,true
1772136117320,24,7,362,322,true
1772136117321,30,7,363,271,true
1772136117325,12,7,364,273,true
1772136117384,5,7,365,331,true
1772136117387,13,7,366,334,true
1772136117392,14,7,368,332,true
1772136117393,8,7,371,329,true
1772136117394,7,7,370,331,true
1772136117395,33,7,367,338,true
1772136117397,3,7,369,336,true
1772136117400,38,7,372,334,true
1772136117402,10,7,374,335,true
1772136117402,11,7,373,336,true
1772136117403,48,7,375,327,true
1772136117406,9,7,377,271,true
1772136117411,4,7,376,277,true
1772136117470,35,7,379,327,true
1772136117471,2,7,378,334,true
1772136117476,20,7,381,331,true
1772136117477,23,7,383,328,true
1772136117477,16,7,380,333,true
1772136117478,25,7,384,329,true
1772136117482,40,7,382,335,true
1772136117482,17,7,385,330,true
1772136117485,6,7,387,332,true
1772136117485,29,7,388,328,true
1772136117485,32,7,386,333,true
1772136117492,49,7,389,275,true
1772136117494,34,7,390,274,true
1772136117555,28,7,395,324,true
1772136117555,39,7,391,330,true
1772136117556,46,7,396,325,true
1772136117557,44,7,392,331,true
1772136117560,37,7,397,327,true
1772136117564,15,7,393,337,true
1772136117564,1,7,394,334,true
1772136117566,36,7,398,332,true
1772136117567,43,8,399,333,true
1772136117569,31,7,401,326,true
1772136117574,42,8,400,339,true
1772136117574,0,8,402,273,true
1772136117576,47,8,403,274,true
1772136117638,27,8,407,322,true
1772136117638,22,8,404,330,true
1772136117640,26,8,405,331,true
1772136117643,21,8,406,330,true
1772136117645,19,8,411,327,true
1772136117645,41,7,409,329,true
1772136117647,18,8,410,329,true
1772136117647,45,8,408,332,true
1772136117649,30,8,413,328,true
1772136117654,5,8,415,270,true
1772136117655,24,8,412,335,true
1772136117657,12,8,414,332,true
1772136117660,13,8,416,272,true
1772136117723,8,8,418,329,true
1772136117724,14,8,417,331,true
1772136117725,7,8,419,330,true
1772136117727,33,8,420,331,true
1772136117728,10,8,423,326,true
1772136117729,48,8,425,325,true
1772136117731,11,8,424,329,true
1772136117732,38,8,422,331,true
1772136117734,3,8,421,337,true
1772136117736,4,8,427,324,true
1772136117737,9,8,426,331,true
1772136117741,35,8,428,271,true
1772136117742,2,8,429,270,true
1772136117802,20,8,430,326,true
1772136117809,16,8,432,331,true
1772136117810,23,8,431,333,true
1772136117811,25,8,433,332,true
1772136117811,17,8,435,328,true
1772136117812,6,8,436,327,true
1772136117815,32,8,438,329,true
1772136117818,40,8,434,336,true
1772136117819,49,8,439,326,true
1772136117819,29,8,437,334,true
1772136117822,39,8,442,266,true
1772136117823,28,8,441,268,true
1772136117828,34,8,440,334,true
1772136117891,46,8,443,335,true
1772136117893,37,8,445,333,true
1772136117895,15,8,446,331,true
1772136117895,44,8,444,338,true
1772136117896,36,8,448,330,true
1772136117898,1,8,447,334,true
1772136117901,31,8,450,331,true
1772136117902,43,9,449,334,true
1772136117903,0,9,452,328,true
1772136117905,47,9,453,328,true
1772136117906,42,9,451,332,true
1772136117912,22,9,455,274,true
1772136117912,27,9,454,274,true
1772136117974,41,8,459,328,true
1772136117976,26,9,456,335,true
1772136117977,21,9,457,334,true
1772136117979,19,9,458,333,true
1772136117984,18,9,460,336,true
1772136117984,24,9,464,329,true
1772136117985,45,9,461,337,true
1772136117985,12,9,465,328,true
1772136117987,30,9,462,338,true
1772136117987,5,9,463,333,true
1772136117992,13,9,466,332,true
1772136117998,8,9,467,275,true
1772136118001,14,9,468,277,true
1772136118069,48,9,472,340,true
1772136118070,7,9,469,344,true
1772136118072,33,9,470,345,true
1772136118072,3,9,475,337,true
1772136118073,10,9,471,344,true
1772136118077,9,9,477,340,true
1772136118079,4,9,476,343,true
1772136118082,35,9,478,340,true
1772136118084,20,9,480,282,true
1772136118086,38,9,474,354,true
1772136118088,11,9,473,356,true
1772136118088,2,9,479,346,true
1772136118091,16,9,481,281,true
1772136118169,25,9,483,358,true
1772136118170,6,9,485,358,true
1772136118172,29,9,489,352,true
1772136118172,17,9,484,361,true
1772136118173,32,9,486,358,true
1772136118174,40,9,487,355,true
1772136118174,23,9,482,364,true
1772136118177,34,9,492,348,true
1772136118178,46,9,493,286,true
1772136118180,49,9,488,360,true
1772136118180,39,9,490,358,true
1772136118181,28,9,491,357,true
1772136118185,37,9,494,291,true
1772136118218,41,9,500,244,true
1772136118218,44,9,496,322,true
1772136118219,36,9,497,323,true
1772136118219,15,9,495,324,true
1772136118220,1,9,498,321,true
1772136118222,31,9,499,321,true
