# host=127.0.0.1
# port=8080
# clients=50
# requestsPerClient=10
# warmupDiscarded=20
# elapsedSec=3.237459
# throughput=154.442099
# p50Ms=316
# p95Ms=410
timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1772136077198,22,0,24,108,true
1772136077288,34,0,36,198,true
1772136077294,16,0,18,204,true
1772136077295,3,0,5,205,true
1772136077300,29,0,31,210,true
1772136077301,12,0,14,211,true
1772136077326,0,0,1,237,true
1772136077329,48,0,50,239,true
1772136077349,10,0,12,259,true
1772136077351,14,0,16,261,true
1772136077354,13,0,15,264,true
1772136077382,43,0,45,292,true
1772136077386,37,0,39,296,true
1772136077397,1,0,4,307,true
1772136077440,21,0,23,350,true
1772136077451,15,0,17,362,true
1772136077470,19,0,21,380,true
1772136077488,25,0,27,399,true
1772136077488,20,0,22,399,true
1772136077489,17,0,19,399,true
1772136077489,28,0,30,399,true
1772136077489,5,0,7,399,true
1772136077490,39,0,41,400,true
1772136077498,41,0,43,408,true
1772136077498,9,0,11,409,true
1772136077499,40,0,42,409,true
1772136077499,2,0,3,409,true
1772136077500,23,0,25,410,true
1772136077518,47,0,49,428,true
1772136077539,45,0,47,449,true
1772136077539,32,0,34,449,true
1772136077539,6,0,8,450,true
1772136077539,46,0,48,449,true
1772136077540,38,0,40,450,true
1772136077542,26,0,28,452,true
1772136077550,29,1,55,250,true
1772136077555,4,0,6,465,true
1772136077558,8,0,10,468,true
1772136077559,30,0,32,469,true
1772136077560,22,1,51,358,true
1772136077575,33,0,35,485,true
1772136077577,36,0,38,487,true
1772136077578,42,0,44,488,true
1772136077579,49,0,2,490,true
1772136077582,11,0,13,492,true
1772136077596,48,1,58,267,true
1772136077597,16,1,53,303,true
1772136077600,3,1,54,305,true
1772136077604,34,1,52,315,true
1772136077607,27,0,29,517,true
1772136077610,44,0,46,520,true
1772136077612,35,0,37,522,true
1772136077615,24,0,26,525,true
1772136077615,18,0,20,526,true
1772136077617,7,0,9,527,true
1772136077619,31,0,33,529,true
1772136077651,13,1,61,297,true
1772136077677,10,1,59,328,true
1772136077678,0,1,57,352,true
1772136077679,12,1,56,377,true
1772136077679,14,1,60,328,true
1772136077696,19,1,67,226,true
1772136077710,25,1,68,221,true
1772136077713,39,1,73,222,true
1772136077739,43,1,62,356,true
1772136077739,5,1,72,249,true
1772136077741,37,1,63,355,true
1772136077743,21,1,65,302,true
1772136077746,1,1,64,348,true
1772136077747,20,1,69,258,true
1772136077750,17,1,70,260,true
1772136077763,15,1,66,311,true
1772136077767,9,1,75,268,true
1772136077772,40,1,76,272,true
1772136077810,28,1,71,320,true
1772136077814,2,1,77,315,true
1772136077815,41,1,74,317,true
1772136077815,11,1,95,233,true
1772136077822,47,1,79,303,true
1772136077824,23,1,78,324,true
1772136077829,24,1,103,214,true
1772136077841,46,1,83,301,true
1772136077842,6,1,82,302,true
1772136077850,29,2,86,300,true
1772136077864,8,1,88,305,true
1772136077874,31,1,106,255,true
1772136077878,21,2,118,135,true
1772136077883,30,1,89,324,true
1772136077886,27,1,100,278,true
1772136077887,33,1,91,312,true
1772136077888,42,1,93,310,true
