# host=127.0.0.1
# port=8080
# clients=50
# requestsPerClient=10
# warmupDiscarded=20
# elapsedSec=3.203292
# throughput=156.089436
# p50Ms=306
# p95Ms=380
timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1772135964990,27,0,29,93,true
1772135964988,47,0,49,90,true
1772135964987,12,0,14,90,true
1772135964986,2,0,2,89,true
1772135964986,44,0,46,88,true
1772135964990,17,0,19,93,true
1772135964989,9,0,11,92,true
1772135964986,19,0,21,89,true
1772135964986,1,0,3,90,true
1772135964991,14,0,16,94,true
1772135965052,7,0,9,155,true
1772135965055,35,0,37,158,true
1772135965057,30,0,32,160,true
1772135965058,37,0,39,161,true
1772135965058,4,0,6,162,true
1772135965059,16,0,18,162,true
1772135965061,33,0,35,164,true
1772135965061,15,0,17,164,true
1772135965062,42,0,44,165,true
1772135965063,29,0,31,166,true
1772135965113,34,0,36,216,true
1772135965116,5,0,7,219,true
1772135965117,26,0,28,220,true
1772135965118,31,0,33,221,true
1772135965120,0,0,1,224,true
1772135965123,43,0,45,226,true
1772135965124,23,0,25,227,true
1772135965126,13,0,15,229,true
1772135965126,10,0,12,229,true
1772135965128,24,0,26,231,true
1772135965165,38,0,40,268,true
1772135965171,21,0,23,274,true
1772135965175,40,0,42,278,true
1772135965176,25,0,27,279,true
1772135965178,8,0,10,281,true
1772135965179,36,0,38,282,true
1772135965181,48,0,50,283,true
1772135965182,6,0,8,285,true
1772135965185,45,0,47,288,true
1772135965187,3,0,5,290,true
1772135965222,39,0,41,325,true
1772135965230,11,0,13,333,true
1772135965233,20,0,22,336,true
1772135965235,28,0,30,338,true
1772135965236,18,0,20,339,true
1772135965236,22,0,24,339,true
1772135965239,49,0,4,343,true
1772135965240,41,0,43,343,true
1772135965244,32,0,34,347,true
1772135965245,46,0,48,347,true
1772135965278,12,1,53,287,true
1772135965287,47,1,52,296,true
1772135965290,2,1,54,299,true
1772135965291,44,1,55,300,true
1772135965295,17,1,56,304,true
1772135965296,19,1,58,304,true
1772135965296,27,1,51,305,true
1772135965297,9,1,57,306,true
1772135965301,1,1,59,309,true
1772135965302,14,1,60,310,true
1772135965335,7,1,61,283,true
1772135965343,30,1,63,286,true
1772135965345,37,1,64,287,true
1772135965346,35,1,62,290,true
1772135965352,33,1,67,290,true
1772135965354,4,1,65,295,true
1772135965356,29,1,70,293,true
1772135965356,16,1,66,297,true
1772135965360,15,1,68,298,true
1772135965361,42,1,69,298,true
1772135965393,34,1,71,279,true
1772135965404,5,1,72,288,true
1772135965404,31,1,74,285,true
1772135965406,26,1,73,289,true
1772135965412,0,1,75,292,true
1772135965414,13,1,78,287,true
1772135965416,23,1,77,292,true
1772135965417,43,1,76,293,true
1772135965421,10,1,79,294,true
1772135965423,24,1,80,295,true
1772135965460,38,1,81,295,true
1772135965467,40,1,83,291,true
1772135965468,21,1,82,297,true
1772135965474,25,1,84,297,true
1772135965479,36,1,86,300,true
1772135965480,8,1,85,301,true
1772135965483,6,1,88,301,true
1772135965484,48,1,87,302,true
1772135965485,45,1,89,299,true
1772135965490,3,1,90,302,true
1772135965525,39,1,91,302,true
1772135965540,11,1,92,310,true
1772135965542,20,1,93,308,true
1772135965547,28,1,94,311,true
1772135965549,18,1,95,313,true
1772135965550,22,1,96,313,true
1772135965551,32,1,99,307,true
1772135965554,49,1,97,315,true
1772135965557,41,1,98,316,true
1772135965560,46,1,100,315,true
1772135965594,12,2,101,315,true
1772135965607,2,2,103,317,true
1772135965608,47,2,102,320,true
1772135965613,17,2,105,318,true
1772135965615,44,2,104,324,true
1772135965616,27,2,107,319,true
1772135965616,19,2,106,320,true
1772135965621,9,2,108,324,true
1772135965625,1,2,109,324,true
1772135965626,14,2,110,324,true
1772135965663,7,2,111,327,true
1772135965679,37,2,113,334,true
1772135965681,30,2,112,338,true
1772135965685,29,2,117,329,true
1772135965686,33,2,115,334,true
1772135965688,4,2,116,334,true
1772135965689,35,2,114,342,true
1772135965693,16,2,118,336,true
1772135965697,15,2,119,337,true
1772135965699,42,2,120,338,true
1772135965733,34,2,121,339,true
1772135965746,0,2,125,333,true
1772135965746,31,2,123,341,true
1772135965748,5,2,122,343,true
1772135965748,23,2,127,332,true
1772135965752,13,2,126,338,true
1772135965756,26,2,124,349,true
1772135965758,43,2,128,341,true
1772135965762,10,2,129,341,true
1772135965764,24,2,130,341,true
1772135965790,38,2,131,330,true
1772135965806,25,2,134,332,true
1772135965807,40,2,132,340,true
1772135965809,21,2,133,340,true
1772135965813,8,2,136,332,true
1772135965813,36,2,135,334,true
1772135965816,6,2,137,332,true
