# host=127.0.0.1
# port=8080
# clients=50
# requestsPerClient=20
# warmupDiscarded=20
# elapsedSec=10.400263
# throughput=96.151416
# p50Ms=516
# p95Ms=524
timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1772303650211,37,0,39,129,true
1772303650211,16,0,18,130,true
1772303650212,13,0,15,130,true
1772303650211,39,0,41,129,true
1772303650211,41,0,43,129,true
1772303650211,18,0,20,130,true
1772303650211,0,0,3,130,true
1772303650211,43,0,45,129,true
1772303650211,30,0,32,129,true
1772303650211,6,0,8,130,true
1772303650328,24,0,26,247,true
1772303650328,9,0,11,247,true
1772303650328,32,0,34,246,true
1772303650328,12,0,14,247,true
1772303650328,27,0,29,246,true
1772303650328,10,0,12,247,true
1772303650328,49,0,1,247,true
1772303650328,3,0,5,247,true
1772303650328,47,0,49,246,true
1772303650328,33,0,35,247,true
1772303650432,31,0,33,350,true
1772303650432,19,0,21,351,true
1772303650432,17,0,19,351,true
1772303650432,40,0,42,350,true
1772303650432,36,0,38,350,true
1772303650432,21,0,23,351,true
1772303650433,14,0,16,351,true
1772303650433,38,0,40,351,true
1772303650433,29,0,31,351,true
1772303650433,28,0,30,351,true
1772303650534,35,0,37,452,true
1772303650539,15,0,17,457,true
1772303650539,5,0,7,457,true
1772303650539,25,0,27,457,true
1772303650539,7,0,10,457,true
1772303650539,8,0,9,457,true
1772303650539,46,0,48,456,true
1772303650539,44,0,46,457,true
1772303650539,34,0,36,457,true
1772303650539,42,0,44,457,true
1772303650635,1,0,2,554,true
1772303650643,2,0,4,561,true
1772303650643,26,0,28,561,true
1772303650643,11,0,13,561,true
1772303650643,22,0,24,561,true
1772303650643,48,0,50,560,true
1772303650647,45,0,47,565,true
1772303650647,4,0,6,566,true
1772303650647,23,0,25,565,true
1772303650647,20,0,22,565,true
1772303650741,39,1,54,521,true
1772303650743,13,1,53,523,true
1772303650744,37,1,51,524,true
1772303650749,43,1,58,529,true
1772303650749,18,1,56,529,true
1772303650749,41,1,55,529,true
1772303650752,0,1,57,531,true
1772303650752,6,1,60,531,true
1772303650752,16,1,52,532,true
1772303650752,30,1,59,531,true
1772303650844,24,1,61,515,true
1772303650849,12,1,64,520,true
1772303650849,3,1,68,520,true
1772303650853,47,1,69,525,true
1772303650853,10,1,66,525,true
1772303650854,33,1,70,525,true
1772303650855,9,1,62,526,true
1772303650855,32,1,63,526,true
1772303650857,27,1,65,528,true
1772303650857,49,1,67,528,true
1772303650948,17,1,73,515,true
1772303650950,36,1,75,517,true
1772303650950,21,1,76,517,true
1772303650957,31,1,71,524,true
1772303650958,29,1,79,525,true
1772303650958,40,1,74,525,true
1772303650958,28,1,80,525,true
1772303650958,38,1,78,525,true
1772303650958,14,1,77,525,true
1772303650958,19,1,72,525,true
1772303651052,25,1,84,513,true
1772303651052,35,1,81,517,true
1772303651052,8,1,85,513,true
1772303651058,15,1,82,519,true
1772303651063,42,1,90,524,true
1772303651063,7,1,86,524,true
1772303651063,44,1,88,524,true
1772303651063,46,1,87,524,true
1772303651063,5,1,83,524,true
1772303651063,34,1,89,524,true
1772303651153,1,1,91,517,true
1772303651153,26,1,93,509,true
1772303651158,2,1,92,514,true
1772303651160,22,1,95,517,true
1772303651167,20,1,100,519,true
1772303651167,4,1,98,519,true
1772303651167,45,1,97,519,true
1772303651167,11,1,94,523,true
1772303651167,48,1,96,523,true
1772303651167,23,1,99,519,true
1772303651260,37,2,103,516,true
1772303651260,13,2,102,517,true
1772303651260,39,2,101,519,true
1772303651265,18,2,105,516,true
1772303651268,16,2,109,516,true
1772303651268,43,2,104,518,true
1772303651268,30,2,110,516,true
1772303651268,41,2,106,518,true
1772303651268,0,2,107,516,true
1772303651268,6,2,108,516,true
1772303651365,12,2,113,516,true
1772303651365,24,2,111,521,true
1772303651365,3,2,112,516,true
1772303651366,33,2,116,512,true
1772303651372,9,2,118,516,true
1772303651372,47,2,114,518,true
1772303651372,32,2,117,516,true
1772303651372,27,2,119,515,true
1772303651372,10,2,115,518,true
1772303651372,49,2,120,514,true
1772303651468,36,2,122,518,true
1772303651468,17,2,121,519,true
1772303651470,21,2,123,519,true
1772303651470,31,2,124,513,true
1772303651475,29,2,125,516,true
1772303651475,19,2,130,516,true
1772303651475,14,2,129,516,true
1772303651475,38,2,128,516,true
1772303651475,40,2,126,516,true
1772303651475,28,2,127,516,true
1772303651569,8,2,133,516,true
1772303651569,25,2,131,516,true
1772303651575,35,2,132,522,true
1772303651575,15,2,134,516,true
1772303651580,5,2,139,517,true
1772303651581,42,2,135,517,true
1772303651581,46,2,138,517,true
1772303651581,7,2,136,517,true
1772303651581,34,2,140,517,true
1772303651581,44,2,137,517,true
1772303651674,26,2,142,521,true
1772303651674,1,2,141,521,true
1772303651679,22,2,144,519,true
1772303651679,2,2,143,521,true
1772303651685,4,2,146,518,true
1772303651685,48,2,149,518,true
1772303651685,20,2,145,518,true
1772303651686,23,2,150,518,true
1772303651686,11,2,148,518,true
1772303651686,45,2,147,518,true
1772303651777,13,3,152,516,true
1772303651777,39,3,153,516,true
1772303651785,18,3,154,519,true
1772303651785,37,3,151,524,true
1772303651786,16,3,155,517,true
1772303651792,0,3,159,523,true
1772303651792,41,3,158,523,true
1772303651792,30,3,157,523,true
1772303651792,43,3,156,523,true
1772303651792,6,3,160,523,true
1772303651882,24,3,162,516,true
1772303651882,12,3,161,516,true
1772303651885,3,3,163,520,true
1772303651886,33,3,164,519,true
1772303651890,9,3,165,518,true
1772303651892,47,3,166,520,true
1772303651896,27,3,168,524,true
1772303651896,10,3,169,524,true
1772303651896,32,3,167,524,true
1772303651896,49,3,170,524,true
1772303651983,17,3,172,515,true
1772303651983,36,3,171,515,true
1772303651991,21,3,173,520,true
1772303651991,31,3,174,520,true
1772303651992,29,3,175,517,true
1772303651998,38,3,178,523,true
1772303651999,40,3,179,524,true
1772303651999,28,3,180,524,true
1772303651999,19,3,176,524,true
1772303651999,14,3,177,524,true
1772303652086,25,3,182,516,true
1772303652086,8,3,181,517,true
1772303652092,15,3,184,516,true
1772303652092,35,3,183,516,true
1772303652097,46,3,187,516,true
1772303652104,44,3,190,523,true
1772303652104,34,3,189,523,true
1772303652104,42,3,186,523,true
1772303652104,5,3,185,523,true
1772303652104,7,3,188,523,true
1772303652190,1,3,192,516,true
1772303652190,26,3,191,516,true
1772303652197,2,3,194,517,true
1772303652197,22,3,193,517,true
1772303652197,4,3,195,511,true
