# host=127.0.0.1
# port=8080
# clients=50
# requestsPerClient=10
# warmupDiscarded=20
# elapsedSec=3.699868
# throughput=135.139953
# p50Ms=358
# p95Ms=423
timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1772303990817,0,0,4,70,true
1772303990817,45,0,48,69,true
1772303990817,33,0,36,70,true
1772303990817,21,0,24,71,true
1772303990817,42,0,45,70,true
1772303990859,28,0,31,112,true
1772303990859,49,0,3,112,true
1772303990859,43,0,46,112,true
1772303990859,34,0,37,113,true
1772303990860,19,0,22,113,true
1772303990895,24,0,27,149,true
1772303990895,25,0,28,149,true
1772303990896,39,0,42,149,true
1772303990896,13,0,16,149,true
1772303990896,46,0,49,149,true
1772303990931,36,0,39,184,true
1772303990932,32,0,35,185,true
1772303990932,20,0,23,185,true
1772303990932,41,0,44,185,true
1772303990933,12,0,15,186,true
1772303990967,38,0,41,220,true
1772303990967,30,0,33,221,true
1772303990968,35,0,38,221,true
1772303990968,27,0,30,221,true
1772303990968,10,0,13,222,true
1772303991003,11,0,14,256,true
1772303991003,7,0,10,256,true
1772303991004,16,0,19,257,true
1772303991004,40,0,43,257,true
1772303991004,37,0,40,257,true
1772303991039,17,0,20,292,true
1772303991039,22,0,25,292,true
1772303991040,29,0,32,293,true
1772303991040,6,0,9,294,true
1772303991041,9,0,12,294,true
1772303991076,26,0,29,329,true
1772303991076,14,0,17,329,true
1772303991077,8,0,11,330,true
1772303991077,15,0,18,330,true
1772303991078,1,0,7,331,true
1772303991113,18,0,21,366,true
1772303991114,5,0,2,367,true
1772303991115,4,0,8,368,true
1772303991115,47,0,50,368,true
1772303991118,3,0,6,371,true
1772303991150,2,0,5,404,true
1772303991150,44,0,47,403,true
1772303991151,23,0,26,405,true
1772303991151,48,0,1,405,true
1772303991154,31,0,34,408,true
1772303991186,45,1,52,365,true
1772303991186,21,1,54,365,true
1772303991187,0,1,51,367,true
1772303991187,42,1,55,367,true
1772303991190,33,1,53,369,true
1772303991222,28,1,56,362,true
1772303991222,49,1,57,362,true
1772303991223,43,1,58,363,true
1772303991223,34,1,59,363,true
1772303991225,19,1,60,365,true
1772303991257,25,1,62,361,true
