# host=127.0.0.1
# port=8080
# clients=50
# requestsPerClient=10
# warmupDiscarded=20
# elapsedSec=3.407153
# throughput=146.750091
# p50Ms=326
# p95Ms=397
timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1772136097197,12,0,14,124,true
1772136097198,37,0,39,125,true
1772136097198,6,0,8,125,true
1772136097197,20,0,22,123,true
1772136097197,19,0,21,124,true
1772136097203,18,0,20,130,true
1772136097203,42,0,44,130,true
1772136097204,8,0,10,131,true
1772136097209,1,0,1,136,true
1772136097209,16,0,18,136,true
1772136097210,0,0,4,138,true
1772136097212,13,0,15,139,true
1772136097215,47,0,49,142,true
1772136097248,30,0,32,175,true
1772136097260,41,0,43,187,true
1772136097279,46,0,48,206,true
1772136097297,15,0,17,224,true
1772136097317,25,0,27,244,true
1772136097335,33,0,35,262,true
1772136097335,2,0,5,262,true
1772136097339,22,0,24,266,true
1772136097341,44,0,46,268,true
1772136097342,28,0,30,269,true
1772136097347,40,0,42,274,true
1772136097362,23,0,25,289,true
1772136097366,29,0,31,293,true
1772136097366,49,0,2,293,true
1772136097367,24,0,26,294,true
1772136097367,34,0,36,294,true
1772136097369,38,0,40,296,true
1772136097373,45,0,47,300,true
1772136097379,14,0,16,306,true
1772136097383,35,0,37,310,true
1772136097386,26,0,28,313,true
1772136097389,32,0,34,316,true
1772136097390,27,0,29,317,true
1772136097396,9,0,11,323,true
1772136097415,21,0,23,342,true
1772136097428,10,0,12,355,true
1772136097443,3,0,6,370,true
1772136097462,43,0,45,389,true
1772136097488,11,0,13,415,true
1772136097498,31,0,33,425,true
1772136097502,17,0,19,429,true
1772136097504,4,0,3,431,true
1772136097505,5,0,7,432,true
1772136097508,39,0,41,435,true
1772136097518,7,0,9,445,true
1772136097520,8,1,58,316,true
1772136097527,6,1,53,326,true
1772136097529,20,1,54,328,true
1772136097530,12,1,51,329,true
1772136097532,36,0,38,459,true
1772136097533,37,1,52,332,true
1772136097539,19,1,55,338,true
1772136097541,48,0,50,468,true
1772136097543,18,1,56,340,true
1772136097548,42,1,57,344,true
1772136097551,16,1,60,341,true
1772136097553,1,1,59,343,true
1772136097556,0,1,61,346,true
1772136097565,13,1,62,353,true
1772136097588,47,1,63,372,true
1772136097600,30,1,64,351,true
1772136097627,41,1,65,366,true
1772136097636,46,1,66,356,true
1772136097645,25,1,68,327,true
1772136097649,15,1,67,352,true
1772136097658,22,1,71,318,true
1772136097662,33,1,69,327,true
1772136097663,44,1,72,321,true
1772136097663,2,1,70,327,true
1772136097675,23,1,75,313,true
1772136097679,40,1,74,332,true
1772136097679,49,1,77,313,true
1772136097681,29,1,76,315,true
1772136097682,34,1,79,315,true
1772136097684,45,1,81,310,true
1772136097686,38,1,80,316,true
1772136097689,24,1,78,322,true
1772136097694,14,1,82,315,true
1772136097699,26,1,84,312,true
1772136097703,35,1,83,319,true
1772136097703,28,1,73,360,true
1772136097705,32,1,85,316,true
1772136097717,27,1,86,326,true
1772136097735,9,1,87,338,true
1772136097793,21,1,88,378,true
1772136097834,10,1,89,405,true
1772136097848,3,1,90,404,true
1772136097851,5,1,96,346,true
1772136097852,11,1,92,364,true
1772136097863,31,1,93,364,true
1772136097865,17,1,94,363,true
1772136097867,43,1,91,405,true
1772136097871,39,1,97,362,true
1772136097871,4,1,95,367,true
1772136097873,8,2,99,352,true
1772136097883,7,1,98,364,true
1772136097883,20,2,101,354,true
1772136097888,37,2,104,354,true
1772136097889,12,2,102,358,true
1772136097890,6,2,100,363,true
1772136097892,36,1,103,359,true
1772136097897,19,2,105,357,true
1772136097904,18,2,107,361,true
1772136097905,42,2,108,356,true
1772136097908,16,2,109,357,true
1772136097911,1,2,110,358,true
1772136097915,48,1,106,373,true
1772136097937,0,2,111,380,true
1772136097951,13,2,112,385,true
1772136097980,47,2,113,392,true
1772136097997,30,2,114,396,true
1772136097999,46,2,116,362,true
1772136098007,2,2,122,343,true
1772136098011,25,2,117,366,true
1772136098013,41,2,115,385,true
1772136098014,22,2,119,356,true
1772136098020,44,2,121,356,true
1772136098021,40,2,124,341,true
1772136098022,33,2,120,359,true
1772136098027,15,2,118,377,true
1772136098028,45,2,128,344,true
1772136098032,23,2,123,356,true
1772136098038,34,2,127,355,true
1772136098039,29,2,126,357,true
1772136098039,49,2,125,359,true
1772136098045,24,2,130,355,true
1772136098050,38,2,129,364,true
1772136098055,14,2,131,360,true
1772136098060,26,2,132,360,true
1772136098066,35,2,133,363,true
1772136098071,28,2,134,367,true
1772136098085,32,2,135,380,true
1772136098110,27,2,136,392,true
1772136098124,9,2,137,388,true
1772136098147,21,2,138,353,true
1772136098158,11,2,142,305,true
1772136098160,10,2,139,326,true
1772136098162,31,2,143,299,true
1772136098162,43,2,145,294,true
1772136098170,17,2,144,304,true
1772136098171,3,2,140,323,true
1772136098172,4,2,147,301,true
1772136098173,5,2,141,321,true
